Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,37172386
Algeria,DZA,"Population, total",SP.POP.TOTL,42228429
Andorra,AND,"Population, total",SP.POP.TOTL,77006
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,96286
Armenia,ARM,"Population, total",SP.POP.TOTL,2951776
Australia,AUS,"Population, total",SP.POP.TOTL,24982688
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,9939771
Bahrain,BHR,"Population, total",SP.POP.TOTL,1569439
Barbados,BRB,"Population, total",SP.POP.TOTL,286641
Belgium,BEL,"Population, total",SP.POP.TOTL,11427054
Benin,BEN,"Population, total",SP.POP.TOTL,11485048
Bhutan,BTN,"Population, total",SP.POP.TOTL,754394
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3323929
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,29802
Bulgaria,BGR,"Population, total",SP.POP.TOTL,7025037
Burundi,BDI,"Population, total",SP.POP.TOTL,11175378
Cambodia,KHM,"Population, total",SP.POP.TOTL,16249798
Canada,CAN,"Population, total",SP.POP.TOTL,37057765
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4666377
Chile,CHL,"Population, total",SP.POP.TOTL,18729160
Colombia,COL,"Population, total",SP.POP.TOTL,49661056
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,84068091
Costa Rica,CRI,"Population, total",SP.POP.TOTL,4999441
Croatia,HRV,"Population, total",SP.POP.TOTL,4087843
Curacao,CUW,"Population, total",SP.POP.TOTL,159800
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10629928
Djibouti,DJI,"Population, total",SP.POP.TOTL,958920
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,10627165
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,98423595
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1308974
Estonia,EST,"Population, total",SP.POP.TOTL,1321977
Ethiopia,ETH,"Population, total",SP.POP.TOTL,109224559
Fiji,FJI,"Population, total",SP.POP.TOTL,883483
France,FRA,"Population, total",SP.POP.TOTL,66965912
Gabon,GAB,"Population, total",SP.POP.TOTL,2119275
Georgia,GEO,"Population, total",SP.POP.TOTL,3726549
Ghana,GHA,"Population, total",SP.POP.TOTL,29767108
Greece,GRC,"Population, total",SP.POP.TOTL,10732882
Grenada,GRD,"Population, total",SP.POP.TOTL,111454
Guatemala,GTM,"Population, total",SP.POP.TOTL,16346950
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,1874309
Haiti,HTI,"Population, total",SP.POP.TOTL,11123176
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7451000
Iceland,ISL,"Population, total",SP.POP.TOTL,352721
Indonesia,IDN,"Population, total",SP.POP.TOTL,267663435
Iraq,IRQ,"Population, total",SP.POP.TOTL,38433600
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84077
Italy,ITA,"Population, total",SP.POP.TOTL,60421760
Japan,JPN,"Population, total",SP.POP.TOTL,126529100
