,Country_Name,Access to electricity (% of population),"Air transport, freight (million ton-km)","Air transport, passengers carried","Automated teller machines (ATMs) (per 100,000 adults)","Cost to import, border compliance (US$)","Life expectancy at birth, total (years)","Nurses and midwives (per 1,000 people)",Population growth (annual %),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",People_practicing_open_defecation_percent_of_population_2017,Covid_Deaths_as_of_2_16_2021,Covid_Cases_as_of_2_16_2021,Covid_Recoviers_as_of_2_16_2021
0,Afghanistan,98.71320343,29.5593488,1125367,1.61,750,64.486,,2.3847611,0.21,12.74018624,2428,55518,48514
1,Albania,100,0,303137,30.64,77.3,78.458,,-0.246732042,7.17,0,1582,94651,58794
2,Algeria,100,28.28048,6442442,9.54,408.8,76.693,1.5477,2.00737383,0.95,0.772990468,2945,111069,76330
3,Andorra,100,,,,,,,0.006493211,11.02,0,107,10555,10022
4,Angola,43.25925827,78.15964,1516628,18.92,1030,60.782,0.4075,3.276133875,6.94,19.9207369,494,20389,18929
5,Antigua and Barbuda,100,0.29449121,580174.1568,66.64,546.4,76.885,4.5171,0.89718512,6.38,0.264128913,9,443,205
6,Argentina,100,311.720805,18084553,58.21,1200,76.52,,1.015808349,9.65,,50432,2033060,1838291
7,Armenia,100,0,53259,64.11,0,74.945,,0.236306379,5.55,0,3150,169391,161348
8,Aruba,100,,274280,126.43,,76.152,,0.453575639,,,0,4,0
9,Australia,100,2027.63711,75667645.03,146.17,539,82.74878049,,1.536105516,10.51,0,909,28911,26133
10,Austria,100,373.511,12935505,169.41,0,81.69268293,,0.487071925,11.96,0,8260,436139,413908
11,Azerbaijan,100,44.0886,2279546,32.85,300,72.864,,0.866316916,4.41,0.155374017,3185,232337,226951
12,"Bahamas, The",100,0,1830394.862,127.79,1385,73.752,4.5669,1.010953344,4.78,0.22319574,179,8383,7071
13,Bahrain,100,420.98375,5877003,,397,77.163,,4.921161372,1.09,0,410,114361,106412
14,Bangladesh,85.16042328,50.616612,5677396,8.89,900,72.32,0.4124,1.050044649,0.019,0,8298,541434,488621
15,Barbados,100,,,26.17,1776,79.081,3.06,0.142439723,9.69,0.828895303,25,2331,1660
16,Belarus,100,1.9004,2760168,53.89,0,74.17560976,,-0.155570407,11.45,0,1867,270921,260057
17,Belgium,100,1285.344187,13639487,80.97,0,81.59512195,19.4614,0.455184695,11.08,0,21750,741205,31130
