Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,..,..,..,..,..,..
Afghanistan,AFG,Forest area (% of land area),AG.LND.FRST.ZS,2.067824648,2.067824648,..,..,..,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.377,63.763,64.13,64.486,..,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,43.01971817,..,..
Afghanistan,AFG,Losses due to theft and vandalism (% of annual sales of affected firms),IC.FRM.CRIM.ZS,..,..,..,..,..,..
Afghanistan,AFG,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,0.124470105,0.130028499,0.15486227,0.211648481,..,..
Afghanistan,AFG,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,0.1299,0.1482,0.1755,..,..,..
Afghanistan,AFG,People practicing open defecation (% of population),SH.STA.ODFC.ZS,14.18329477,13.4506756,12.74018624,..,..,..
Afghanistan,AFG,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.222099684,0.277241675,..,..,..,..
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,3.077083595,2.778317409,2.548346644,2.3847611,2.311817217,..
Afghanistan,AFG,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.21,..,..,0.21,..,..
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,71.5,97.7,97.7,98.71320343,..,..
Afghanistan,AFG,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,33.10203859,29.0108809,21.46255651,29.5593488,20.01420595,..
Afghanistan,AFG,"Air transport, passengers carried",IS.AIR.PSGR,1929907,1917924,1647425,1125367,1066747.356,..
Afghanistan,AFG,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,0.92,1.06,1.21,1.61,1.64,..
Afghanistan,AFG,Battle-related deaths (number of people),VC.BTL.DETH,17273,17978,19014,25676,29940,..
Afghanistan,AFG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.125786922,0.123719085,..,..,..,..
Afghanistan,AFG,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,850,750,750,750,750,..
Afghanistan,AFG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,..,..,..,..,..,..
Afghanistan,AFG,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,0.5,0.5,0.39,..,..,..
Algeria,DZA,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,..,..,..,..,..,..
Algeria,DZA,Forest area (% of land area),AG.LND.FRST.ZS,0.821248331,0.824439265,..,..,..,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.09,76.298,76.499,76.693,..,..
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,81.40783691,..,..
Algeria,DZA,Losses due to theft and vandalism (% of annual sales of affected firms),IC.FRM.CRIM.ZS,..,..,..,..,..,..
Algeria,DZA,"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,0.311346013,0.336151337,0.372107359,0.353296619,..,..
Algeria,DZA,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,..,2.243,2.2228,1.5477,..,..
Algeria,DZA,People practicing open defecation (% of population),SH.STA.ODFC.ZS,0.798122127,0.785368473,0.772990468,..,..,..
Algeria,DZA,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.419987063,0.425487259,..,..,..,..
Algeria,DZA,Population growth (annual %),SP.POP.GROW,2.045387243,2.051354584,2.044952503,2.00737383,1.933950191,..
Algeria,DZA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,0.93,..,..,0.95,..,..
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.93136597,99.99005127,100,100,..,..
Algeria,DZA,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,21.90164517,21.591025,24.80375,28.28048,25.641745,..
Algeria,DZA,"Air transport, passengers carried",IS.AIR.PSGR,5400896,6093416,6230157,6442442,6748653,..
Algeria,DZA,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,8.35,8.57,9.13,9.54,9.64,..
Algeria,DZA,Battle-related deaths (number of people),VC.BTL.DETH,110,86,60,33,..,..
Algeria,DZA,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.320795175,0.318225062,..,..,..,..
Algeria,DZA,"Cost to import, border compliance (US$)",IC.IMP.CSBC.CD,408.8,408.8,408.8,408.8,408.8,..
Algeria,DZA,Gross savings (% of GDP),NY.GNS.ICTR.ZS,36.40710851,37.38036417,38.77926148,..,..,..
Algeria,DZA,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS,1.9,..,..,..,..,..
Andorra,AND,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,..,..,..,..,..,..
Andorra,AND,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319,34.04255319,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..
Andorra,AND,Losses due to theft and vandalism (% of annual sales of affected firms),IC.FRM.CRIM.ZS,..,..,..,..,..,..
